"","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"39","PS2",2001,"Action",6.99,4.51,0.3,1.3,13.1,97,56,8,664
"40","Wii",2008,"Fighting",6.62,2.55,2.66,1.01,12.84,93,81,8,1662
"41","3DS",2011,"Racing",5.03,4.02,2.69,0.91,12.66,85,73,8,632
"42","PS3",2010,"Shooter",5.99,4.37,0.48,1.79,12.63,88,58,6,1094
"43","PS4",2014,"Action",3.96,6.31,0.38,1.97,12.61,97,66,8,2899
"44","DS",2005,"Simulation",2.5,3.45,5.33,0.86,12.13,86,57,8,242
"45","X360",2007,"Shooter",7.97,2.81,0.13,1.21,12.12,94,86,7,4100
"46","N64",1996,"Platform",6.91,2.85,1.91,0.23,11.89,NA,NA,NA,NA
"47","DS",2009,"Action",4.34,2.71,3.96,0.76,11.77,NA,NA,NA,NA
"48","3DS",2014,"Role-Playing",4.35,3.49,3.1,0.74,11.68,NA,NA,NA,NA
"49","PS2",2004,"Racing",3.01,0.01,1.1,7.53,11.66,89,74,8,272
"50","Wii",2007,"Platform",6.06,3.35,1.2,0.74,11.35,97,73,8,2147
"51","GB",1992,"Adventure",6.16,2.04,2.69,0.29,11.18,NA,NA,NA,NA
"52","X360",2008,"Action",6.76,3.07,0.14,1.03,11.01,98,86,7,2951
"53","PS",1997,"Racing",4.02,3.87,2.54,0.52,10.95,96,16,8,138
"54","3DS",2011,"Platform",4.89,3,2.14,0.78,10.81,90,82,8,921
"55","PS3",2010,"Racing",2.96,4.82,0.81,2.11,10.7,84,82,7,1112
"56","PS3",2009,"Shooter",4.99,3.64,0.38,1.6,10.6,94,67,6,2073
"57","SNES",1993,"Platform",5.99,2.15,2.12,0.29,10.55,NA,NA,NA,NA
"58","PS3",2008,"Action",4.76,3.69,0.44,1.61,10.5,98,64,7,2833
"59","GBA",2004,"Role-Playing",4.34,2.65,3.15,0.35,10.49,NA,NA,NA,NA
"60","DS",2004,"Platform",5.01,3.07,1.25,0.97,10.3,NA,NA,NA,NA
"61","X360",2013,"Shooter",6.73,2.56,0.04,0.91,10.25,73,29,2,2117
"62","Wii",2011,"Misc",5.95,3.11,0,1.06,10.12,74,15,7,16
"63","3DS",2012,"Platform",3.66,3.14,2.47,0.63,9.9,78,70,7,424
"64","N64",1996,"Racing",5.55,1.94,2.23,0.15,9.87,NA,NA,NA,NA
"65","X360",2010,"Shooter",7.04,1.95,0.08,0.79,9.86,91,99,7,2045
"66","PS",1997,"Role-Playing",3.01,2.47,3.28,0.96,9.72,92,20,9,1282
"67","X360",2012,"Shooter",6.65,2.28,0.04,0.74,9.71,87,87,7,3260
"68","PS",1999,"Racing",3.88,3.42,1.69,0.5,9.49,93,23,9,135
"69","Wii",2010,"Misc",5.8,2.85,0.01,0.78,9.44,74,24,7,24
"70","PS3",2013,"Shooter",4.1,3.63,0.38,1.25,9.36,71,10,2,1047
"71","X360",2007,"Shooter",5.93,2.36,0.13,0.9,9.31,94,70,8,1320
"72","SNES",1994,"Platform",4.36,1.71,3,0.23,9.3,NA,NA,NA,NA
"73","X360",2013,"Misc",5.7,2.65,0.02,0.81,9.18,NA,NA,NA,NA
"74","3DS",2012,"Simulation",2.03,2.36,4.39,0.39,9.16,88,70,8,626
"75","DS",2007,"Misc",4.4,1.85,1.98,0.68,8.91,72,27,7,85
"76","X360",2011,"Role-Playing",5.05,2.79,0.1,0.85,8.79,96,89,8,3589
"77","SNES",1992,"Racing",3.54,1.24,3.81,0.18,8.76,NA,NA,NA,NA
"78","PS4",2015,"Sports",1.12,6.12,0.06,1.28,8.57,82,42,4,896
"79","XB",2004,"Shooter",6.82,1.53,0.05,0.08,8.49,95,91,8,1218
"80","Wii",2010,"Misc",1.75,3.47,2.49,0.67,8.38,68,42,7,54
"81","Wii",2007,"Misc",3.74,2.24,1.58,0.7,8.27,62,41,6,190
"82","PS3",2012,"Action",1.06,5.01,0.13,1.97,8.16,88,37,6,348
"83","N64",1997,"Shooter",5.8,2.01,0.13,0.15,8.09,NA,NA,NA,NA
"84","DS",2012,"Role-Playing",2.79,1.72,3.14,0.41,8.07,NA,NA,NA,NA
"85","PS2",2001,"Role-Playing",2.91,2.07,2.73,0.33,8.05,92,53,8,1056
"86","PC",2009,"Simulation",0.99,6.42,0,0.6,8.01,86,75,7,886
"87","Wii",2007,"Sports",2.57,3.86,0.66,0.91,7.99,NA,NA,NA,NA
"88","PS4",2015,"Shooter",2.99,3.49,0.22,1.28,7.98,NA,NA,NA,NA
"89","PS",1999,"Role-Playing",2.28,1.72,3.63,0.23,7.86,90,24,8,644
"90","2600",1982,"Puzzle",7.28,0.45,0,0.08,7.81,NA,NA,NA,NA
"91","DS",2008,"Role-Playing",2.76,1.72,2.69,0.54,7.72,83,46,8,203
"92","PSP",2005,"Action",2.9,2.81,0.24,1.73,7.69,88,65,7,451
"93","PS4",2014,"Shooter",2.81,3.48,0.14,1.23,7.66,83,39,5,1443
"94","N64",1998,"Action",4.1,1.89,1.45,0.16,7.6,NA,NA,NA,NA
"95","PS4",2016,"Sports",0.66,5.75,0.08,1.11,7.59,85,41,5,398
"96","PS",1997,"Platform",3.78,2.17,1.31,0.31,7.58,NA,NA,NA,NA
"97","3DS",2014,"Fighting",3.27,1.37,2.43,0.48,7.55,NA,NA,NA,NA
"98","Wii",2010,"Platform",3.56,2.35,0.98,0.62,7.51,97,87,9,1854
"99","NES",1988,"Platform",5.39,1.18,0.7,0.19,7.46,NA,NA,NA,NA
"100","XOne",2015,"Shooter",4.59,2.11,0.01,0.68,7.39,NA,NA,NA,NA
"101","X360",2008,"Shooter",4.81,1.88,0,0.69,7.38,84,84,7,580
"102","X360",2011,"Shooter",4.46,2.11,0.06,0.69,7.32,84,57,7,2142
"103","PS2",2003,"Racing",3.27,2.83,0.08,1.02,7.2,85,33,8,171
"104","Wii",2009,"Misc",3.48,2.99,0,0.73,7.2,49,21,8,110
"105","PS3",2011,"Shooter",2.85,2.89,0.35,1.08,7.17,85,38,7,1761
"106","PS4",2015,"Role-Playing",2.53,3.27,0.24,1.13,7.16,87,58,6,4228
"107","PS",1998,"Fighting",3.27,2.22,1.4,0.29,7.16,96,15,9,367
"108","Wii",2006,"Action",3.74,2.14,0.6,0.68,7.15,95,73,9,1658
"109","3DS",2016,"Role-Playing",2.98,1.45,2.26,0.45,7.14,NA,NA,NA,NA
"110","PS",1998,"Platform",3.68,1.75,1.42,0.28,7.13,91,12,8,432
"111","WiiU",2014,"Racing",3.15,2.15,1.28,0.51,7.09,88,82,9,1599
"112","GC",2001,"Fighting",4.41,1.04,1.39,0.22,7.07,92,38,9,568
"113","GC",2003,"Racing",4.12,1.77,0.87,0.19,6.95,NA,NA,NA,NA
"114","PS2",2004,"Racing",2.71,3.02,0.08,1.09,6.9,82,39,8,132
"115","PS2",2002,"Shooter",2.93,2.75,0.17,0.99,6.83,88,29,8,135
"116","PS",1996,"Platform",3.23,2.35,0.94,0.3,6.82,NA,NA,NA,NA
"117","Wii",2012,"Misc",4.05,2.16,0,0.55,6.76,74,10,7,28
"118","X360",2008,"Shooter",4.15,1.9,0.06,0.64,6.75,93,90,7,2739
"119","PS3",2011,"Action",2.77,2.75,0.19,1.03,6.74,92,97,8,3712
"120","Wii",2010,"Sports",3.45,2.59,0,0.66,6.71,NA,NA,NA,NA
"121","PS3",2007,"Shooter",3.11,2.26,0.28,1.03,6.68,94,44,8,993
"122","PS3",2009,"Action",3.27,2.2,0.21,0.98,6.66,96,105,8,5187
"123","PS3",2011,"Sports",0.84,4.3,0.11,1.39,6.65,NA,NA,NA,NA
"124","DS",2005,"Misc",1.66,2.75,1.6,0.62,6.62,74,45,7,27
"125","NES",1986,"Action",3.74,0.93,1.69,0.14,6.51,NA,NA,NA,NA
"126","PS3",2010,"Action",2.79,2.53,0.17,0.99,6.49,95,73,8,2456
"127","PS3",2013,"Sports",0.78,4.24,0.07,1.37,6.47,86,37,4,576
"128","PS3",2012,"Action",2.64,2.52,0.16,1.12,6.45,85,41,6,1307
"129","Wii",2010,"Platform",3.17,1.79,1.03,0.46,6.44,87,77,8,368
"130","XB",2001,"Shooter",4.98,1.3,0.08,0.07,6.43,97,68,8,1283
"131","PS3",2011,"Role-Playing",2.55,2.6,0.25,1,6.41,92,16,6,2527
"132","GBA",2004,"Role-Playing",2.57,1.58,2.06,0.21,6.41,76,28,9,222
"133","PS2",2002,"Role-Playing",3.64,1.2,1.49,0.07,6.4,85,46,8,597
"134","GB",2000,"Role-Playing",2.55,1.56,1.29,0.99,6.39,NA,NA,NA,NA
"135","X360",2009,"Shooter",4.34,1.34,0.06,0.61,6.34,83,94,7,1163
"136","X360",2010,"Action",3.7,1.95,0.09,0.58,6.32,95,96,9,2316
"137","GC",2002,"Platform",4.01,1.26,0.87,0.17,6.31,92,61,8,439
"138","SNES",1992,"Fighting",2.47,0.83,2.87,0.12,6.3,NA,NA,NA,NA
"139","PC",2004,"Role-Playing",0.08,6.21,0,0,6.29,93,57,7,2182
"140","PS",1999,"Action",3.11,2.8,0.02,0.33,6.27,87,22,8,78
"141","X360",2011,"Shooter",4.05,1.59,0.07,0.5,6.21,91,96,7,1504
"142","X360",2010,"Sports",3.92,1.73,0.03,0.51,6.19,73,51,7,95
"143","X360",2006,"Shooter",3.54,1.88,0.07,0.6,6.09,94,88,8,2295
"144","PS4",2014,"Sports",0.8,4.33,0.05,0.9,6.08,82,47,5,988
"145","PS2",2001,"Action",2.45,2.01,0.87,0.72,6.05,96,42,8,1026
"146","GEN",1992,"Platform",4.47,1.2,0.16,0.19,6.03,NA,NA,NA,NA
"147","PS",1998,"Action",3.18,1.83,0.78,0.24,6.03,94,20,9,918
"148","PS3",2008,"Action",2.63,1.71,0.83,0.82,5.99,94,82,8,3558
"149","PS2",2006,"Role-Playing",1.88,0,2.33,1.74,5.95,92,64,7,972
"150","PS3",2013,"Action",2.41,2.18,0.28,0.99,5.87,95,98,9,8003
"151","PS3",2008,"Platform",2.8,1.98,0.17,0.87,5.82,95,85,6,5311
"152","PS",1998,"Action",1.88,1.47,2.02,0.45,5.82,89,13,9,364
"153","DS",2009,"Role-Playing",0.63,0.67,4.35,0.15,5.78,87,65,8,197
"154","PS",1996,"Fighting",2.26,1.89,1.36,0.23,5.74,89,8,8,102
"155","PS4",2014,"Shooter",2.49,2.07,0.16,0.92,5.64,76,95,6,5380
"156","Wii",2007,"Action",3.57,1.55,0,0.51,5.64,80,17,8,62
"157","DS",2006,"Simulation",3.07,1.91,0.07,0.57,5.63,67,35,7,21
"158","NES",1988,"Puzzle",2.97,0.69,1.81,0.11,5.58,NA,NA,NA,NA
"159","N64",1999,"Fighting",2.95,0.6,1.97,0.04,5.55,NA,NA,NA,NA
"160","PS3",2009,"Action",2.54,1.93,0.21,0.86,5.55,91,70,8,1202
"161","X360",2007,"Adventure",3.28,1.64,0.07,0.56,5.54,81,77,7,1074
"162","X360",2009,"Racing",2.99,1.9,0.1,0.5,5.49,92,90,8,516
"163","GBA",2001,"Platform",3.14,1.24,0.91,0.2,5.49,84,19,7,41
"164","PSP",2008,"Role-Playing",0.47,0.55,4.13,0.34,5.48,81,48,8,124
"165","PS3",2011,"Action",2.71,1.85,0.11,0.81,5.48,96,42,8,2162
"166","XOne",2014,"Action",2.81,2.19,0,0.47,5.48,97,14,7,764
"167","GBA",2001,"Racing",2.62,1.64,0.99,0.23,5.47,93,24,8,108
"168","GBA",2001,"Platform",3.21,1.11,0.95,0.2,5.46,NA,NA,NA,NA
"169","N64",1999,"Strategy",3.18,1.24,0.94,0.09,5.45,NA,NA,NA,NA
"170","PS2",2001,"Platform",2.07,2.29,0.24,0.82,5.42,66,22,7,156
"171","PS3",2008,"Shooter",2.73,1.83,0,0.83,5.39,85,45,7,409
"172","PS4",2016,"Shooter",1.85,2.5,0.19,0.85,5.38,93,113,7,7064
"173","GB",1989,"Puzzle",2.18,0.96,2,0.2,5.34,NA,NA,NA,NA
"174","PS3",2009,"Role-Playing",1.74,1.21,1.87,0.51,5.33,83,83,7,2483
"175","GB",1999,"Misc",3.02,1.12,1.01,0.16,5.31,NA,NA,NA,NA
"176","PS",2000,"Role-Playing",1.62,0.77,2.78,0.14,5.3,94,22,8,779
"177","X360",2012,"Action",3.13,1.69,0.03,0.44,5.29,84,61,6,1196
"178","PS2",2003,"Role-Playing",1.92,1.08,2.11,0.17,5.29,85,45,6,400
"179","N64",1999,"Platform",3.33,0.79,1.09,0.06,5.27,NA,NA,NA,NA
"180","XOne",2014,"Shooter",3.22,1.55,0.01,0.48,5.27,81,53,5,898
"181","PS3",2014,"Misc",2.03,2.37,0,0.87,5.26,NA,NA,NA,NA
"182","X360",2009,"Action",3.11,1.55,0.08,0.51,5.26,90,82,8,1305
"183","PS",1997,"Action",2.3,2.46,0.2,0.28,5.24,85,13,NA,NA
"185","3DS",2013,"Simulation",0.97,2.11,1.9,0.24,5.23,NA,NA,NA,NA
"186","WiiU",2012,"Platform",2.3,1.34,1.27,0.32,5.22,84,70,8,733
"187","PS2",2004,"Role-Playing",0.65,0.75,3.61,0.2,5.21,89,63,8,245
"188","GBA",2003,"Platform",2.93,1.25,0.83,0.2,5.2,NA,NA,NA,NA
"189","DS",2007,"Puzzle",1.21,2.43,1.03,0.52,5.19,85,72,8,147
"190","GB",1994,"Platform",2.49,0.98,1.57,0.15,5.19,NA,NA,NA,NA
"191","X360",2012,"Action",1.09,3.47,0.03,0.57,5.16,90,48,6,403
"192","SNES",1995,"Platform",2.1,0.74,2.2,0.11,5.15,NA,NA,NA,NA
"193","PC",2012,"Role-Playing",2.44,2.16,0,0.54,5.14,88,86,4,9629
"194","PS2",2003,"Shooter",1.98,2.23,0.13,0.8,5.13,68,30,7,100
"195","GB",1992,"Platform",2.71,0.61,1.7,0.11,5.13,NA,NA,NA,NA
"196","PC",1996,"Simulation",3.22,1.69,0,0.2,5.12,NA,NA,NA,NA
"197","PS2",2006,"Misc",3.81,0.63,0,0.68,5.12,92,69,8,112
"198","X360",2010,"Role-Playing",3.59,1.08,0.05,0.38,5.1,80,88,6,604
"199","DS",2008,"Sports",1.63,2.45,0.44,0.57,5.09,NA,NA,NA,NA
"200","PS3",2009,"Action",1.96,1.41,1.08,0.64,5.09,84,76,7,667
"201","DS",2007,"Action",1.85,1.8,0.95,0.48,5.08,90,57,8,416
"202","GB",1999,"Platform",3.4,1.3,0.15,0.22,5.07,NA,NA,NA,NA
"203","PS3",2010,"Sports",0.61,3.28,0.06,1.12,5.07,89,51,8,233
"204","PS",1996,"Action",2.05,1.16,1.11,0.73,5.05,91,8,9,266
"205","PSP",2006,"Action",1.7,1.99,0.16,1.18,5.03,86,50,8,150
"206","PS",1999,"Sports",3.42,1.38,0.02,0.2,5.02,92,18,9,69
"207","PS",1999,"Strategy",2.79,1.89,0,0.33,5.01,NA,NA,NA,NA
"208","PS",1998,"Platform",3.36,1.36,0.07,0.21,5,NA,NA,NA,NA
"209","PS2",2007,"Misc",3.49,0.01,0.01,1.48,4.98,82,24,8,46
"210","Wii",2007,"Shooter",3.05,1.17,0.29,0.46,4.98,68,34,7,47
"211","DS",2007,"Role-Playing",1.83,1.19,1.54,0.37,4.93,NA,NA,NA,NA
"212","X360",2008,"Role-Playing",3.4,0.99,0.09,0.45,4.93,93,84,8,1655
"213","PS3",2007,"Action",2.31,1.72,0.12,0.77,4.92,88,66,8,2306
"214","PS2",2005,"Sports",3.98,0.26,0.01,0.66,4.91,88,29,8,121
"215","N64",1997,"Racing",2.91,0.99,0.89,0.1,4.88,NA,NA,NA,NA
"216","PSP",2010,"Role-Playing",0,0,4.87,0,4.87,NA,NA,NA,NA
"217","WiiU",2014,"Fighting",2.6,1.08,0.81,0.38,4.87,NA,NA,NA,NA
"218","NES",1990,"Puzzle",2.62,0.6,1.52,0.1,4.85,NA,NA,NA,NA
"219","PC",2010,"Strategy",2.57,1.68,0,0.58,4.84,93,82,8,3052
"220","PS3",2007,"Adventure",1.91,2,0.09,0.82,4.82,81,40,7,769
"221","PS3",2010,"Action",2.74,1.33,0.12,0.61,4.8,92,101,8,2633
"222","PS",1999,"Racing",2.57,1.57,0.44,0.21,4.79,88,20,9,233
"223","DS",2007,"Action",2.83,1.48,0,0.45,4.76,80,9,5,46
"224","PS",2000,"Action",2.36,2.1,0.02,0.25,4.73,62,14,7,92
"225","X360",2011,"Action",2.99,1.27,0.04,0.42,4.73,94,87,8,1472
"226","PS4",2014,"Action",1.88,2,0.07,0.77,4.71,NA,NA,NA,NA
"227","PS2",2003,"Racing",1.73,2.19,0,0.79,4.7,NA,NA,NA,NA
"228","PS",2000,"Sports",3.05,1.41,0.02,0.2,4.68,98,19,7,299
"229","PS2",2002,"Action",1.94,1.95,0.08,0.7,4.67,82,32,8,78
"230","PS",1996,"Action",2.29,1.97,0.13,0.24,4.63,91,13,8,147
"231","Wii",2008,"Simulation",1.82,1.12,1.32,0.36,4.62,73,50,7,119
"232","PS4",2015,"Action",2.07,1.71,0.08,0.76,4.62,86,78,8,1264
"233","SNES",1991,"Action",2.42,0.91,1.15,0.13,4.61,NA,NA,NA,NA
"234","GC",2002,"Action",2.6,0.99,0.89,0.13,4.6,96,80,8,968
"235","Wii",2007,"Misc",3.04,1.11,0,0.43,4.6,86,36,8,87
"236","3DS",2013,"Action",1.8,1.39,1.11,0.29,4.59,86,74,8,458
"237","X360",2011,"Racing",2.08,1.97,0.06,0.46,4.57,91,83,8,617
"238","Wii",2009,"Sports",1.87,1.96,0.22,0.48,4.53,NA,NA,NA,NA
"239","PS2",2004,"Sports",4.18,0.26,0.01,0.08,4.53,91,30,7,78
"240","X360",2007,"Misc",3.19,0.91,0.01,0.42,4.53,85,69,7,165
"241","2600",1981,"Platform",4.21,0.24,0,0.05,4.5,NA,NA,NA,NA
"242","PS2",2006,"Sports",3.63,0.24,0.01,0.61,4.49,84,29,8,39
"243","XOne",2015,"Shooter",2.78,1.27,0.03,0.41,4.48,84,101,6,2438
"244","PS2",2002,"Action",2.71,1.51,0.03,0.23,4.48,76,25,7,41
"245","PS",2000,"Role-Playing",0.2,0.14,4.1,0.02,4.47,NA,NA,NA,NA
"246","PS4",2016,"Shooter",1.61,2,0.15,0.71,4.46,77,82,3,1129
"247","PS2",2005,"Action",2.71,1.29,0.02,0.43,4.45,94,75,8,997
"248","WiiU",2015,"Shooter",1.54,1.18,1.46,0.26,4.43,81,88,8,1184
"249","WiiU",2012,"Misc",2.52,1.11,0.46,0.33,4.42,77,61,7,471
"250","PS2",2001,"Sports",2.66,1.29,0.01,0.46,4.41,97,34,7,298
"251","PS2",2006,"Sports",0.1,2.39,1.05,0.86,4.39,86,19,8,33
"252","X360",2006,"Role-Playing",2.82,1.03,0.13,0.4,4.38,94,90,8,1109
"253","NES",1987,"Adventure",2.19,0.5,1.61,0.08,4.38,NA,NA,NA,NA
"254","PS2",2005,"Racing",2.03,1.79,0.08,0.47,4.37,82,36,9,137
"255","Wii",2010,"Misc",2.64,1.33,0.01,0.39,4.36,56,37,8,31
"256","PS3",2014,"Shooter",1.56,1.93,0.19,0.68,4.36,NA,NA,4,207
"257","PS3",2006,"Shooter",1.74,1.72,0.14,0.75,4.34,86,70,8,715
"258","GEN",1991,"Platform",3.03,0.91,0.26,0.13,4.34,NA,NA,NA,NA
"259","PS2",2005,"Role-Playing",2.2,0.58,1.38,0.17,4.33,87,64,9,766
"260","3DS",2011,"Action",2.09,1.31,0.62,0.31,4.33,NA,NA,NA,NA
"261","WiiU",2013,"Platform",2.11,1.16,0.73,0.32,4.32,93,83,9,1607
"262","PS4",2014,"Misc",1.48,2.02,0.14,0.68,4.32,NA,NA,NA,NA
"263","2600",1980,"Shooter",4,0.26,0,0.05,4.31,NA,NA,NA,NA
"264","X360",2014,"Shooter",2.77,1.11,0,0.4,4.29,NA,NA,4,221
"265","PS3",2014,"Sports",0.58,3.02,0.04,0.64,4.28,NA,NA,4,109
"266","X360",2008,"Role-Playing",2.51,1.24,0.11,0.41,4.27,89,95,6,2423
"267","GBA",2001,"Misc",3,1.11,0.05,0.07,4.24,79,10,7,6
"268","PS3",2009,"Action",2.24,1.31,0.07,0.61,4.23,91,70,8,1122
"269","PS2",2004,"Action",1.46,0,0.83,1.93,4.23,91,68,9,955
"270","PS3",2011,"Action",1.41,2.01,0.1,0.7,4.22,80,39,7,613
"271","XOne",2015,"Role-Playing",2.51,1.32,0.01,0.38,4.22,88,39,6,1749
"272","X360",2013,"Sports",0.92,2.89,0.01,0.4,4.22,84,41,4,435
"273","PSP",2006,"Platform",2.45,1.01,0,0.75,4.21,85,59,8,109
"274","PC",1995,"Strategy",1.7,2.27,0,0.23,4.21,NA,NA,NA,NA
"275","PS2",2005,"Sports",0.78,2.55,0.04,0.84,4.21,80,32,7,47
"276","PS2",2003,"Misc",0.88,2.3,0.2,0.83,4.2,80,32,7,22
"277","PS3",2007,"Racing",1.28,1.82,0.57,0.52,4.19,80,67,7,120
"278","X360",2011,"Action",2.25,1.47,0.04,0.43,4.19,80,77,7,564
"279","X360",2011,"Sports",0.84,2.78,0.02,0.53,4.18,NA,NA,NA,NA
"280","NES",1989,"Action",3.38,0.44,0.31,0.04,4.17,NA,NA,NA,NA
"281","PS3",2009,"Fighting",2.03,1.04,0.58,0.52,4.16,94,61,7,330
"282","NES",1984,"Racing",2.04,0.48,1.57,0.07,4.16,NA,NA,NA,NA
"283","PS",1997,"Action",3.79,0.27,0,0.11,4.16,NA,NA,NA,NA
"284","PS2",2002,"Sports",3.36,0.21,0.01,0.56,4.14,95,25,7,65
"285","PC",1997,"Shooter",4.03,0,0.09,0,4.12,96,24,9,3161
"286","SNES",1995,"Platform",1.65,0.61,1.76,0.09,4.12,NA,NA,NA,NA
"287","PS2",2006,"Sports",0.71,2.48,0.03,0.89,4.11,NA,NA,NA,NA
"288","SNES",1992,"Fighting",1.42,0.51,2.1,0.07,4.1,NA,NA,NA,NA
"289","PC",2007,"Role-Playing",2.57,1.52,0,0,4.09,91,46,7,785
"290","PS4",2016,"Shooter",1.1,2.15,0.21,0.61,4.08,88,31,8,809
"291","PS2",2007,"Action",2.32,0.04,0.04,1.67,4.07,93,70,8,709
"292","PS2",2005,"Sports",0.12,2.26,0.9,0.77,4.06,NA,NA,8,23
"293","X360",2010,"Role-Playing",2.66,1.03,0.04,0.33,4.05,84,81,8,769
"294","X360",2007,"Racing",2.35,1.27,0.03,0.41,4.05,90,66,8,381
"295","Wii",2007,"Misc",2.12,1.47,0.05,0.42,4.05,56,27,6,44
"296","PS4",2014,"Action",1.4,1.9,0.11,0.64,4.05,80,80,6,2996
"297","PS",1996,"Misc",2.28,1.55,0.16,0.06,4.05,NA,NA,NA,NA
"298","PS2",2000,"Fighting",1.68,1.51,0.51,0.35,4.05,85,25,8,117
"299","PS4",2014,"Shooter",1.13,2.18,0.1,0.63,4.04,85,83,7,1653
"300","N64",1997,"Shooter",2.78,0.58,0.64,0.04,4.03,NA,NA,NA,NA
"301","NES",1984,"Sports",1.22,0.28,2.46,0.04,4.01,NA,NA,NA,NA
"302","PS2",2005,"Misc",2.08,1.35,0,0.54,3.98,61,21,NA,NA
"303","X360",2009,"Shooter",2.67,0.87,0.05,0.38,3.97,89,76,8,681
"304","PS4",2015,"Role-Playing",1.02,2.13,0.23,0.59,3.97,92,79,9,10179
"305","PS4",2014,"Action",1.19,2.07,0.08,0.62,3.96,70,40,4,2050
"306","PS4",2015,"Action",1.53,1.69,0.1,0.64,3.95,87,89,7,2679
"307","Wii",2011,"Action",2.03,1.16,0.37,0.38,3.95,93,81,8,1958
"308","PS3",2008,"Role-Playing",2.15,1.13,0.07,0.59,3.94,90,57,8,910
"309","DS",2007,"Puzzle",0.9,1.76,0.92,0.37,3.94,84,65,8,72
"310","GB",1994,"Platform",1.97,0.76,1.07,0.11,3.91,NA,NA,NA,NA
"311","Wii",2009,"Sports",2.09,1.35,0.06,0.4,3.9,81,27,8,39
"312","PS2",2003,"Sports",2.29,1.17,0.01,0.42,3.9,90,38,8,121
"313","3DS",2014,"Role-Playing",0.68,0.48,2.62,0.11,3.89,86,80,8,348
"314","PC",2011,"Role-Playing",1.16,2.12,0,0.6,3.88,94,32,8,9073
